,ID,DATE,TEXT,RENDERED_TEXT,USERNAME,DISPLAYNAME,URL,TAGS
28,1482970973586735104,2022-01-17 07:00:07+00:00,Telenor to divest stake in Myanmar's Wave Money to Yoma for $53 mln #WaveMoney #Telenor #Yoma #DigitalPayment #Fmi #Industry  https://t.co/kkY4NdbCAb,Telenor to divest stake in Myanmar's Wave Money to Yoma for $53 mln #WaveMoney #Telenor #Yoma #DigitalPayment #Fmi #Industry  telecom.economictimes.indiatimes.com/news/telenor-t…,ETTelecom,ETTelecom,https://twitter.com/ETTelecom/status/1482970973586735104,"['WaveMoney', 'Telenor', 'Yoma', 'DigitalPayment', 'Fmi', 'Industry']"
29,1482963478260645888,2022-01-17 06:30:20+00:00,Telenor to divest stake in Myanmar's Wave Money to Yoma for $53 mln #WaveMoney #Telenor #Yoma #DigitalPayment #Fmi #Industry  https://t.co/p7pO3MEDgP,Telenor to divest stake in Myanmar's Wave Money to Yoma for $53 mln #WaveMoney #Telenor #Yoma #DigitalPayment #Fmi #Industry  cio.economictimes.indiatimes.com/news/corporate…,jais_george,Jais George,https://twitter.com/jais_george/status/1482963478260645888,"['WaveMoney', 'Telenor', 'Yoma', 'DigitalPayment', 'Fmi', 'Industry']"
30,1479817698179751944,2022-01-08 14:10:07+00:00,"Lunch got me 
@Kamwokya Restaurant ✊
#Kisoro town🇺🇬
#Wavemoney transfer✌️ @ Kabale–Kisoro–Bunagana Road https://t.co/iRyNMME3bv","Lunch got me 
@Kamwokya Restaurant ✊
#Kisoro town🇺🇬
#Wavemoney transfer✌️ @ Kabale–Kisoro–Bunagana Road instagram.com/p/CYeNCSWNx8Z/…",Ricky_soja,Ricky Soja Official 🇺🇬,https://twitter.com/Ricky_soja/status/1479817698179751944,"['Kisoro', 'Wavemoney']"
31,1478118985988251649,2022-01-03 21:40:03+00:00,Telenor aims to sell its stake in Myanmar mobile payment service #AsiaPacific #Myanmar #Telenor #MobilePayment #WaveMoney #YomaStrategicHoldings #M1Group https://t.co/SWzWg5CrXE https://t.co/0qaHyEoBeW,Telenor aims to sell its stake in Myanmar mobile payment service #AsiaPacific #Myanmar #Telenor #MobilePayment #WaveMoney #YomaStrategicHoldings #M1Group tinyurl.com/yy9l9yn6 https://t.co/0qaHyEoBeW,DevTelecoms,Developing Telecoms,https://twitter.com/DevTelecoms/status/1478118985988251649,"['AsiaPacific', 'Myanmar', 'Telenor', 'MobilePayment', 'WaveMoney', 'YomaStrategicHoldings', 'M1Group']"
32,1478006188591792142,2022-01-03 14:11:50+00:00,Telenor to offload stake in Wave Money as political unrest de-stabilizes its mobile money market #Telenor #WaveMoney #mobilemoney https://t.co/fKrrWyh90q,Telenor to offload stake in Wave Money as political unrest de-stabilizes its mobile money market #Telenor #WaveMoney #mobilemoney mobileworldlive.com/money/news-mon…,PaymentGal,Patti Hewitt,https://twitter.com/PaymentGal/status/1478006188591792142,"['Telenor', 'WaveMoney', 'mobilemoney']"
33,1477983282868461568,2022-01-03 12:40:48+00:00,"ဖုန်းကနေ ငွေလွှဲလို့ရတဲ့ Wave Money ရဲ့ ရှယ်ယာ ၅၁ % ကို တယ်လီနော ကုမ္ပဏီ က $ ၅၃ သန်းနဲ့ ရိုးမအုပ်စုကို ရောင်းဖို့ စီစဉ်နေတယ်လို့ Nikkei Asia  သတင်းကဆိုပါတယ်။ 
#TelenorMyanmar #WaveMoney #VOA
#တယ်လီနော #ဝေ့ဖ်မဲန်းနီး #ဗွီအိုအေ 
https://t.co/c94FjRorLJ","ဖုန်းကနေ ငွေလွှဲလို့ရတဲ့ Wave Money ရဲ့ ရှယ်ယာ ၅၁ % ကို တယ်လီနော ကုမ္ပဏီ က $ ၅၃ သန်းနဲ့ ရိုးမအုပ်စုကို ရောင်းဖို့ စီစဉ်နေတယ်လို့ Nikkei Asia  သတင်းကဆိုပါတယ်။ 
#TelenorMyanmar #WaveMoney #VOA
#တယ်လီနော #ဝေ့ဖ်မဲန်းနီး #ဗွီအိုအေ 
tinyurl.com/ad9vfhsb",Voaburmese,Voa Burmese,https://twitter.com/Voaburmese/status/1477983282868461568,"['TelenorMyanmar', 'WaveMoney', 'VOA', 'တယ်လီနော', 'ဝေ့ဖ်မဲန်းနီး', 'ဗွီအိုအေ']"
34,1466085168133951492,2021-12-01 16:41:57+00:00,"#Mouvemoney 

#Wavemoney 

#Orangemoney 

De la concurrence pure et parfaite, les clients en profitent au mieux. 

C'est ça aussi la beauté de l'entrepreneuriat.

Que le meilleur gagne ou le plus stratège  gagne. 

#Entrepreneurship https://t.co/xezmoB0pAx","#Mouvemoney 

#Wavemoney 

#Orangemoney 

De la concurrence pure et parfaite, les clients en profitent au mieux. 

C'est ça aussi la beauté de l'entrepreneuriat.

Que le meilleur gagne ou le plus stratège  gagne. 

#Entrepreneurship https://t.co/xezmoB0pAx",Sib7670,Coulibaly Sibidiè,https://twitter.com/Sib7670/status/1466085168133951492,"['Mouvemoney', 'Wavemoney', 'Orangemoney', 'Entrepreneurship']"
35,1451242343592570880,2021-10-21 17:41:52+00:00,Il ne suffit pas d'être pas politicien pour améliorer les conditions d'une population. #wavemoney l'a fait en moins de 2 ans. Obligeant les plus cupides à se soumettre.,Il ne suffit pas d'être pas politicien pour améliorer les conditions d'une population. #wavemoney l'a fait en moins de 2 ans. Obligeant les plus cupides à se soumettre.,dri_theophile,Nailed,https://twitter.com/dri_theophile/status/1451242343592570880,['wavemoney']
36,1444819116083187715,2021-10-04 00:18:15+00:00,"CEO&amp;COO
Y.JH

Invest Company.

#Wavemoney #Smartmoney https://t.co/m9HNbqR4Dt","CEO&amp;COO
Y.JH

Invest Company.

#Wavemoney #Smartmoney https://t.co/m9HNbqR4Dt",glh5do6x2kdCuvc,APC Realized Profit.,https://twitter.com/glh5do6x2kdCuvc/status/1444819116083187715,"['Wavemoney', 'Smartmoney']"
37,1403170252062662657,2021-06-11 02:00:32+00:00,@denverbitcoin I vote #WaveMoney,@denverbitcoin I vote #WaveMoney,stoodder,Rick Allen,https://twitter.com/stoodder/status/1403170252062662657,['WaveMoney']
38,1401446317969358849,2021-06-06 07:50:14+00:00,@WaveSenegal #wavemoney le meilleur service. Non au arnaque de orange. Il nous étouffe avec ces tarifs tarés et immoraux https://t.co/cFvDekMFQc,@WaveSenegal #wavemoney le meilleur service. Non au arnaque de orange. Il nous étouffe avec ces tarifs tarés et immoraux https://t.co/cFvDekMFQc,BadioBadji,Mon devoir,https://twitter.com/BadioBadji/status/1401446317969358849,['wavemoney']
39,1389765698964975621,2021-05-05 02:15:37+00:00,"WavePay by @WaveMoney_MM is operational across all mobile operators in Myanmar. Send money, buy airtime, pay bills all from the convenience of your smartphone! #mobilemoney #fintech #Myanmar #wavemoney #WavePay https://t.co/i41kmYAC0B","WavePay by @WaveMoney_MM is operational across all mobile operators in Myanmar. Send money, buy airtime, pay bills all from the convenience of your smartphone! #mobilemoney #fintech #Myanmar #wavemoney #WavePay https://t.co/i41kmYAC0B",WaveMoney_MM,Wave Money Myanmar,https://twitter.com/WaveMoney_MM/status/1389765698964975621,"['mobilemoney', 'fintech', 'Myanmar', 'wavemoney', 'WavePay']"
40,1389761160904208386,2021-05-05 01:57:35+00:00,"WavePay by @WaveMoney_MM is operational across all mobile operators in Myanmar. Send money, buy airtime, pay bills all from the convenience of your smartphone! #mobilemoney #fintech #Myanmar #wavemoney #wavepay https://t.co/3ME4JkhU4r","WavePay by @WaveMoney_MM is operational across all mobile operators in Myanmar. Send money, buy airtime, pay bills all from the convenience of your smartphone! #mobilemoney #fintech #Myanmar #wavemoney #wavepay https://t.co/3ME4JkhU4r",BradJOz,Brad Jones,https://twitter.com/BradJOz/status/1389761160904208386,"['mobilemoney', 'fintech', 'Myanmar', 'wavemoney', 'wavepay']"
41,1384584769841807361,2021-04-20 19:08:28+00:00,"#exclusivité #TACE_ART_TV l'info sur ✍✍ 

🔴 | GALA DE COMMUNICATION ÉDITION 1

Faites déjà votre réservation de votre table, un spectacle multimédia et dimensionnelle 
Un fois dans l'année 
#reservation #OrangeMoney #free_mony #WaveMoney #service_commercial 339960347 https://t.co/dknhByLkcs","#exclusivité #TACE_ART_TV l'info sur ✍✍ 

🔴 | GALA DE COMMUNICATION ÉDITION 1

Faites déjà votre réservation de votre table, un spectacle multimédia et dimensionnelle 
Un fois dans l'année 
#reservation #OrangeMoney #free_mony #WaveMoney #service_commercial 339960347 https://t.co/dknhByLkcs",Babagalle9,TACE ART TV,https://twitter.com/Babagalle9/status/1384584769841807361,"['exclusivité', 'TACE_ART_TV', 'reservation', 'OrangeMoney', 'free_mony', 'WaveMoney', 'service_commercial']"
42,1381829884423458819,2021-04-13 04:41:32+00:00,@BradJOz @WaveMoney_MM Thank you #WaveMoney &amp; Team members for supporting our country,@BradJOz @WaveMoney_MM Thank you #WaveMoney &amp; Team members for supporting our country,KoHtike38436136,Ko Htike,https://twitter.com/KoHtike38436136/status/1381829884423458819,['WaveMoney']
43,1350944528539279365,2021-01-17 23:14:09+00:00,"@WaveMoney_MM Good day.
If this is the #WaveMoney we think it is, why can't our US company create a US bank account? https://t.co/LPXhypJmsB","@WaveMoney_MM Good day.
If this is the #WaveMoney we think it is, why can't our US company create a US bank account? https://t.co/LPXhypJmsB",whiteskyventure,White Sky Ventures,https://twitter.com/whiteskyventure/status/1350944528539279365,['WaveMoney']
